anxiety,fear,nervousness,sadness,suffering,shame,insight,saran,validation
2,1,2,0,0,0,"cemas lumayan, rasa takut sedikit, gelisah lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Alihkan perhatian Anda dengan melakukan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, membaca buku, atau mandi air hangat.

3.  Jika rasa cemas Anda mengganggu aktivitas sehari-hari, jangan ragu untuk menghubungi profesional kesehatan mental untuk mendapatkan dukungan lebih lanjut.","Duh, sayang, kamu lagi merasa cemas dan gelisah ya, ditambah sedikit rasa takut?  Aku ngerti banget kalau lagi kayak gini rasanya berat banget."
2,1,3,0,0,0,"cemas lumayan, rasa takut sedikit, gelisah tinggi","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang bisa Anda kendalikan saat ini, seperti pernapasan Anda atau gerakan tubuh Anda.

3.  Cari aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.","Duh, kamu kayaknya lagi merasa cemas banget ya, ditambah gelisah yang lumayan tinggi, wajar kok kalau sedikit takut juga,  aku ngerti banget kalau lagi menghadapi situasi yang berat seperti ini."
2,2,1,0,0,0,"cemas lumayan, rasa takut lumayan, gelisah sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, seperti mengatur postur tubuh Anda atau mendengarkan musik yang menenangkan.

3. Minum air putih dan lakukan aktivitas fisik ringan seperti jalan kaki singkat.","Wah, kedengarannya kamu lagi merasa cemas dan takut, ditambah sedikit gelisah ya?  Aku ngerti banget kalau lagi begini rasanya berat banget."
2,2,2,0,0,0,"cemas lumayan, rasa takut lumayan, gelisah lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, seperti pernapasan Anda atau aktivitas yang sedang Anda lakukan.

3. Lakukan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.","Wah, kedengarannya kamu lagi merasa cemas, takut, dan gelisah ya?  Aku ngerti banget, menghadapi perasaan-perasaan itu pasti nggak mudah."
2,2,3,0,0,0,"cemas lumayan, rasa takut lumayan, gelisah tinggi","1. Lakukan teknik pernapasan dalam:  Hirup napas dalam-dalam melalui hidung, tahan beberapa detik, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal di sekitar Anda:  Perhatikan 5 hal yang Anda lihat, 4 hal yang Anda rasakan, 3 hal yang Anda dengar, 2 hal yang Anda cium, dan 1 hal yang Anda cicipi.

3. Bergeraklah sedikit:  Jalan-jalan singkat, peregangan ringan, atau aktivitas fisik sederhana dapat membantu mengurangi kegelisahan.","Wah, kamu lagi merasa cemas, takut, dan gelisah banget ya?  Aku ngerti banget kalau itu berat banget, dan kamu nggak sendirian kok."
2,3,1,0,0,0,"cemas lumayan, rasa takut tinggi, gelisah sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, seperti pernapasan Anda atau aktivitas yang sedang Anda lakukan.

3.  Minum air putih, dan luangkan waktu sejenak untuk melakukan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan atau berjalan-jalan singkat di luar ruangan.","Wah, kamu lagi merasa cemas banget ya, ditambah rasa takut yang cukup kuat,  aku ngerti kok kalau lagi kayak gini pasti rasanya nggak nyaman."
2,3,2,0,0,0,"cemas lumayan, rasa takut tinggi, gelisah lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa detik, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang bisa Anda kendalikan saat ini, seperti mengatur pernapasan Anda atau mendengarkan musik yang menenangkan.

3. Minum air putih, dan jika memungkinkan, luangkan waktu sejenak untuk berjalan-jalan singkat di tempat yang tenang.","Wah, kedengarannya kamu lagi merasa cemas, takut banget, dan gelisah ya?  Aku mengerti banget, menghadapi perasaan seperti ini pasti nggak mudah."
2,3,3,0,0,0,"cemas lumayan, rasa takut tinggi, gelisah tinggi","1. Fokus pada pernapasan:  Hirup napas dalam-dalam melalui hidung, tahan sebentar, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Gerakan tubuh: Lakukan peregangan ringan atau jalan kaki singkat untuk melepaskan ketegangan fisik.

3. Alihkan perhatian: Dengarkan musik yang menenangkan, fokus pada suatu objek di sekitar Anda, atau lakukan aktivitas sederhana yang Anda nikmati.","Duh, kamu kayaknya lagi merasa cemas, takut, dan gelisah banget ya?  Aku ngerti banget,  itu pasti  berat banget buat dihadapi."
3,1,1,0,0,0,"cemas tinggi, rasa takut sedikit, gelisah sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang dapat Anda kendalikan saat ini, misalnya,  minum air putih atau mendengarkan musik yang menenangkan.

3.  Jika rasa cemas masih berlanjut,  cari kegiatan yang menenangkan seperti mandi air hangat atau membaca buku.","Kayaknya kamu lagi merasa cemas banget ya, ditambah sedikit takut dan gelisah;  nggak apa-apa kok,  merasakan semua itu wajar banget."
3,1,2,0,0,0,"cemas tinggi, rasa takut sedikit, gelisah lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang bisa Anda kendalikan saat ini, seperti pernapasan Anda atau aktivitas sederhana yang bisa Anda lakukan.

3. Minum air putih, dan jika memungkinkan, luangkan waktu sejenak untuk berjalan-jalan singkat di tempat yang tenang.","Kayaknya kamu lagi ngerasain cemas yang cukup kuat, sedikit takut, dan lumayan gelisah ya?  Aku ngerti banget kalau kondisi kayak gini bikin berat,  jangan ragu untuk cerita lebih banyak kalau kamu mau."
3,1,3,0,0,0,"cemas tinggi, rasa takut sedikit, gelisah tinggi","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang bisa Anda kendalikan saat ini, seperti pernapasan Anda atau apa yang Anda lihat di sekitar Anda.

3. Gerakkan tubuh Anda: jalan kaki singkat, regangkan otot, atau lakukan gerakan sederhana lainnya untuk meredakan ketegangan fisik.","Duh, kamu lagi merasa cemas banget dan gelisah ya,  paham banget rasanya kalau lagi dibebani  seperti ini."
3,2,1,0,0,0,"cemas tinggi, rasa takut lumayan, gelisah sedikit","1. Cobalah teknik pernapasan dalam: Hirup napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal di sekitar Anda yang dapat Anda lihat, dengar, dan rasakan.  Ini membantu mengalihkan perhatian dari pikiran yang mencemaskan.

3. Minum air putih, dan jika memungkinkan, lakukan peregangan ringan atau jalan kaki singkat di tempat yang tenang.","Kayaknya kamu lagi ngerasain cemas yang cukup kuat, ditambah rasa takut dan sedikit gelisah ya?  Aku ngerti banget kalau lagi kayak gini pasti berat banget."
3,2,2,0,0,0,"cemas tinggi, rasa takut lumayan, gelisah lumayan","1. Fokus pada pernapasan Anda:  Hirup napas dalam-dalam melalui hidung, tahan sebentar, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Lakukan aktivitas yang menenangkan:  Cobalah mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.

3.  Hubungi orang yang Anda percayai: Berbicara dengan seseorang yang Anda percaya dapat membantu mengurangi rasa cemas Anda.","Wah, kamu lagi merasa cemas banget, agak takut, dan gelisah ya?  Aku ngerti banget kalau lagi begini rasanya berat sekali."
3,2,3,0,0,0,"cemas tinggi, rasa takut lumayan, gelisah tinggi","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Alihkan perhatian Anda ke sesuatu yang menenangkan, seperti mendengarkan musik yang menenangkan, melihat foto keluarga, atau membaca buku.

3. Minum air hangat dan bergerak secara perlahan; berjalan-jalan singkat bisa membantu mengurangi ketegangan fisik.","Duh, kamu kayaknya lagi merasa cemas dan gelisah banget ya, ditambah rasa takut yang lumayan berat;  nggak apa-apa kok,  merasakan hal itu wajar banget di situasi seperti ini."
3,3,1,0,0,0,"cemas tinggi, rasa takut tinggi, gelisah sedikit","1. Cobalah teknik pernapasan dalam:  Hirup napas dalam-dalam melalui hidung, tahan beberapa detik, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang bisa Anda kendalikan saat ini: Misalnya, apa yang Anda lihat, dengar, dan rasakan di sekitar Anda.

3. Lakukan aktivitas yang menenangkan bagi Anda, seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.","Duh, kamu lagi merasa cemas banget dan takut, ya?  Aku ngerti banget kalau lagi kayak gini rasanya berat sekali."
3,3,2,0,0,0,"cemas tinggi, rasa takut tinggi, gelisah lumayan","1. Fokus pada pernapasan Anda: Hirup dalam-dalam melalui hidung, tahan sebentar, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Cari lingkungan yang menenangkan: Temukan tempat yang tenang dan nyaman, mungkin dengan musik lembut atau suara alam.

3. Lakukan aktivitas yang menenangkan: Cobalah aktivitas sederhana seperti berjalan-jalan santai, mandi air hangat, atau membaca buku.","Duh, kamu lagi merasa cemas banget, takut banget, dan agak gelisah ya?  Aku ngerti banget,  itu pasti berat banget buat kamu."
3,3,3,0,0,0,"cemas tinggi, rasa takut tinggi, gelisah tinggi","1. Fokus pada pernapasan Anda: Hirup dalam-dalam melalui hidung, tahan sebentar, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Cari lingkungan yang menenangkan: Temukan tempat yang tenang dan nyaman, mungkin dengan musik yang menenangkan atau alam di sekitar Anda.

3.  Lakukan aktivitas yang menenangkan:  Cobalah aktivitas sederhana seperti membaca, mendengarkan musik, atau mandi air hangat.","Duh, kamu lagi merasa cemas, takut, dan gelisah banget ya?  Aku ngerti banget kalau keadaan kayak gini pasti berat banget dilalui."
1,1,0,1,0,0,"cemas sedikit, rasa takut sedikit, kesedihan sedikit","1. Cobalah teknik pernapasan dalam: Hirup napas dalam-dalam melalui hidung, tahan beberapa saat, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Alihkan perhatian Anda:  Fokus pada sesuatu yang menenangkan, seperti mendengarkan musik yang menenangkan, membaca buku, atau mengamati alam sekitar.

3.  Gerakkan tubuh Anda: Lakukan aktivitas fisik ringan seperti jalan kaki singkat atau peregangan sederhana.","Aku ngerti, kamu lagi merasa sedikit cemas, takut, dan sedih;  itu wajar kok,  kadang hidup memang memberikan tantangan yang berat."
1,1,0,2,0,0,"cemas sedikit, rasa takut sedikit, kesedihan lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Lakukan aktivitas yang menenangkan Anda, seperti mendengarkan musik yang menenangkan, membaca buku, atau mandi air hangat.

3.  Hubungi seseorang yang Anda percayai dan bicarakan perasaan Anda.  Berbagi beban dapat meringankan kecemasan.","Duh, sayang, kamu lagi merasa sedih, sedikit cemas dan takut ya?  Aku ngerti banget,  pasti lagi banyak yang dipikirkan."
1,1,0,3,0,0,"cemas sedikit, rasa takut sedikit, kesedihan tinggi","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Lakukan aktivitas yang menenangkan seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.

3. Hubungi orang yang Anda percaya dan percayakan perasaan Anda kepada mereka.  Jangan ragu untuk meminta dukungan.","Kayaknya kamu lagi sedih banget ya,  diiringi rasa cemas dan takut sedikit;  aku ngerti kok,  masa-masa sulit pasti pernah dialami siapapun."
1,2,0,1,0,0,"cemas sedikit, rasa takut lumayan, kesedihan sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda syukuri saat ini, sekecil apapun itu.  Misalnya, secangkir kopi hangat atau langit yang cerah.

3. Gerakkan tubuh Anda: jalan kaki singkat, peregangan ringan, atau aktivitas fisik lainnya dapat membantu mengurangi ketegangan.","Kayaknya kamu lagi ngerasain campuran antara cemas, takut, dan sedikit sedih ya?  Aku ngerti banget kalau lagi  begini rasanya berat banget."
1,2,0,2,0,0,"cemas sedikit, rasa takut lumayan, kesedihan lumayan","1. Cobalah teknik pernapasan dalam: tarik napas perlahan melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Lakukan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, membaca buku, atau mandi air hangat.

3.  Hubungi orang terdekat yang Anda percaya untuk berbagi perasaan Anda.  Berbicara dapat membantu meringankan beban.","Duh, kamu lagi merasa cemas, takut, dan sedih ya?  Aku ngerti banget kalau sedang menghadapi perasaan campur aduk seperti ini,  pasti berat banget."
1,2,0,3,0,0,"cemas sedikit, rasa takut lumayan, kesedihan tinggi","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, seperti pernapasan Anda atau sesuatu yang bisa Anda sentuh.

3. Dengarkan musik yang menenangkan atau lakukan aktivitas yang Anda nikmati, seperti membaca buku atau minum teh hangat.","Duh, kamu lagi merasa sedih banget ya, campur cemas dan takut juga?  Aku ngerti banget kalau lagi kaya gini rasanya berat sekali."
1,3,0,1,0,0,"cemas sedikit, rasa takut tinggi, kesedihan sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, seperti pernapasan Anda atau aktivitas sederhana yang bisa Anda lakukan.

3.  Cari aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.","Kayaknya kamu lagi ngerasain kecemasan dan takut yang cukup kuat ya, ditambah sedikit rasa sedih;  nggak papa kok merasa begitu,  aku mengerti ini pasti lagi berat buat kamu."
1,3,0,2,0,0,"cemas sedikit, rasa takut tinggi, kesedihan lumayan","1. Fokus pada pernapasan Anda: Hirup dalam-dalam melalui hidung, tahan sebentar, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Cari lingkungan yang menenangkan:  Temukan tempat yang nyaman dan tenang, mungkin dengan musik lembut atau di alam.

3. Lakukan aktivitas yang menenangkan:  Cobalah aktivitas sederhana seperti mandi air hangat, membaca buku, atau mendengarkan musik yang menenangkan.","Duh, kayaknya kamu lagi merasa sedih, cemas, dan takut banget ya?  Aku ngerti banget kalau lagi ngerasain beban seperti ini, wajar kok kalau kamu merasa begitu."
1,3,0,3,0,0,"cemas sedikit, rasa takut tinggi, kesedihan tinggi","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa detik, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang dapat Anda kendalikan saat ini, seperti pernapasan Anda atau aktivitas yang sedang Anda lakukan.

3. Cari kegiatan yang menenangkan Anda, misalnya mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.","Duh, kamu lagi merasa cemas, takut banget, dan sedih ya?  Aku ngerti banget kalau lagi kayak gini rasanya berat sekali."
2,1,0,1,0,0,"cemas lumayan, rasa takut sedikit, kesedihan sedikit","1.  Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Carilah aktivitas yang menenangkan bagi Anda, seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.

3.  Jika memungkinkan, luangkan waktu sejenak untuk berada di alam terbuka, seperti berjalan-jalan singkat di taman.","Kayaknya kamu lagi ngerasain cemas yang lumayan, sedikit takut, dan sedikit sedih ya?  Aku ngerti banget kalau lagi begini rasanya berat."
2,1,0,2,0,0,"cemas lumayan, rasa takut sedikit, kesedihan lumayan","1. Cobalah teknik pernapasan dalam:  Hirup napas dalam-dalam melalui hidung, tahan beberapa saat, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Lakukan aktivitas yang menenangkan:  Dengarkan musik yang menenangkan, mandi air hangat, atau baca buku yang Anda sukai.

3.  Hubungi orang terdekat yang Anda percayai: Berbicara dengan seseorang yang Anda percaya dapat membantu meringankan beban emosional Anda.","Kayaknya kamu lagi ngerasain cemas dan sedih ya,  aku ngerti banget kalau lagi kayak gini berat banget rasanya."
2,1,0,3,0,0,"cemas lumayan, rasa takut sedikit, kesedihan tinggi","1. Cobalah teknik pernapasan dalam: Hirup perlahan melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali hingga merasa lebih tenang.

2. Lakukan aktivitas yang menenangkan dan Anda sukai, misalnya mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.

3. Hubungi orang terdekat yang Anda percaya untuk berbagi perasaan Anda.  Mendapatkan dukungan sosial dapat sangat membantu.","Duh, kamu lagi sedih banget ya, ditambah rasa cemas dan sedikit takut,  aku ngerti kok kalau lagi merasa berat seperti ini."
2,2,0,1,0,0,"cemas lumayan, rasa takut lumayan, kesedihan sedikit","1. Cobalah teknik pernapasan dalam:  Hirup napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang dapat Anda kendalikan saat ini:  Misalnya, apa yang dapat Anda lihat, rasakan, dan dengar di sekitar Anda.

3. Lakukan aktivitas yang menenangkan bagi Anda:  Misalnya, mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.","Duh, kamu lagi merasa cemas dan takut ya, ditambah sedikit sedih?  Aku ngerti banget kalau lagi kayak gini rasanya berat banget."
2,2,0,2,0,0,"cemas lumayan, rasa takut lumayan, kesedihan lumayan","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Alihkan perhatian Anda ke hal-hal yang menyenangkan dan menenangkan, seperti mendengarkan musik yang menenangkan, membaca buku, atau menghabiskan waktu di alam.

3.  Minum air putih dan pastikan Anda cukup istirahat. Tubuh dan pikiran yang lelah dapat memperburuk kecemasan.","Wah, kamu lagi merasa cemas, takut, dan sedih ya?  Aku ngerti banget,  itu pasti berat banget buat kamu."
2,2,0,3,0,0,"cemas lumayan, rasa takut lumayan, kesedihan tinggi","1.  Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa detik, lalu hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2.  Lakukan aktivitas yang menenangkan, seperti mendengarkan musik yang menenangkan, mandi air hangat, atau membaca buku.

3.  Hubungi orang yang Anda percayai dan bercerita tentang apa yang Anda rasakan.  Berbagi beban dapat mengurangi rasa cemas.","Duh, kamu lagi merasa cemas, takut, dan sedih banget ya?  Aku ngerti banget kalau lagi keadaan seperti ini berat banget dilalui."
2,3,0,1,0,0,"cemas lumayan, rasa takut tinggi, kesedihan sedikit","1. Cobalah teknik pernapasan dalam: tarik napas dalam-dalam melalui hidung, tahan beberapa saat, dan hembuskan perlahan melalui mulut. Ulangi beberapa kali.

2. Fokus pada hal-hal yang Anda bisa kendalikan saat ini, seperti pernapasan Anda atau sesuatu yang Anda lihat di sekitar Anda.

3. Minum air putih dan lakukan gerakan tubuh ringan seperti peregangan atau berjalan kaki singkat.","Kayaknya kamu lagi merasa cemas banget ya, ditambah rasa takut yang cukup kuat,  aku ngerti kok kalau lagi kayak gini rasanya berat banget."
