anxiety,fear,nervousness,sadness,suffering,shame, insight, saran
2,3,0,1,0,0,"Cemas lumayan, takut tinggi, dan kesedihan kamu sedikit. Kamu mungkin ngerasa ketakutan berlebihan, tapi kesedihan kamu nggak terlalu besar kok.","Fokus aja ke hal-hal kecil yang bisa kamu kontrol. Ngobrol sama temen atau keluarga bisa banget bantu kamu untuk lebih tenang."
2,3,0,2,0,0,"Cemas lumayan, takut tinggi, dan sedikit sedih. Kayaknya kamu lagi ngerasa takut banget tentang sesuatu yang belum tentu terjadi, dan itu bikin kamu nggak bisa nikmatin waktu sekarang.","Coba cari cara buat ngeredam ketakutan itu, bisa lewat ngobrol sama temen atau beresin hal-hal yang bikin kamu merasa nggak yakin."
2,3,0,3,0,0,"Cemas lumayan, takut tinggi, gelisah banget. Ini saatnya kamu butuh banget dukungan biar bisa ngurangin tekanan yang kamu rasain. Ketakutanmu udah mulai menguasai perasaanmu.","Kalau ngerasa overwhelmed, mending langsung cari support dari orang yang bisa ngasih perspektif lain, atau bahkan seorang profesional."
3,1,0,1,0,0,"Cemas tinggi banget, takut sedikit, sedihnya juga ada. Kamu mungkin merasa cemas banget sama hal yang bisa terjadi di depan, tapi ketakutan dan kesedihan kamu nggak terlalu mendalam.","Mulai dengan deh, menenangkan diri lewat aktivitas yang kamu suka. Bisa juga dengan ngobrol sama temen atau keluarga biar lebih tenang."
3,1,0,2,0,0,"Cemas banget, takutnya sedikit, dan sedikit kesedihan. Kamu lagi berjuang dengan kecemasan yang tinggi, tapi nggak terlalu fokus sama hal yang kamu takutkan.","Saran aku coba deh untuk keluar sejenak dari rutinitas, ambil waktu buat diri sendiri, nonton atau baca sesuatu yang bikin kamu relax."
3,1,0,3,0,0,"Cemas tinggi banget, takut dikit, dan kesedihan lumayan. Kamu mungkin lagi merasakan ketakutan yang gak jelas, tapi perasaan sedihnya lebih berat.","Bicara sama orang yang kamu percayai atau lakukan sesuatu yang bikin kamu merasa lebih lega, kayak sekedar jalan kaki atau dengerin musik."
3,2,0,1,0,0,"Cemas tinggi banget, takut lumayan, dan sedikit kesedihan. Mungkin kamu lagi ngerasa sedikit kecewa sama situasi yang ada, dan itu bikin kamu merasa tertekan.","Coba atur waktu buat diri sendiri dan coba relaksasi, atau deh ngobrol sama orang yang bisa bantu kamu melihat hal ini lebih santai."
3,2,0,2,0,0,"Cemas tinggi banget, takutnya lumayan, gelisahnya sedikit. Kamu lagi berada di titik yang cukup menantang, tapi ketakutan kamu agak lebih dari yang sebenarnya perlu.","Ngobrol sama teman yang bisa kasih pandangan yang berbeda bisa bantu kamu untuk tetap tenang, apalagi kalau kamu mulai overthinking."
3,2,0,3,0,0,"Cemas tinggi banget, takutnya lumayan, dan kesedihan kamu lumayan. Situasi kayak gini bisa banget bikin kamu merasa sangat terbebani, tapi kamu bisa melewatinya kok.","Mencari dukungan bisa sangat membantu, baik dari temen, keluarga, atau profesional yang bisa bantu ngebawa perspektif lebih positif."
3,3,0,1,0,0,"Cemas tinggi banget, takut tinggi, gelisah sedikit. Ketakutan besar dan kecemasan yang nggak terkontrol bikin kamu ngerasa terbebani banget, ya?","Kalau kamu ngerasa overwhelmed, coba buat ambil napas dalam-dalam, dan bicarakan perasaanmu dengan orang yang kamu percaya. Itu bisa bikin kamu lebih tenang."
3,3,0,2,0,0,"Cemas tinggi banget, takut tinggi, gelisahnya agak kerasa. Kamu lagi ada di titik tertekan banget, dan itu bisa ganggu banget untuk berpikir dengan jernih.","Pertimbangkan untuk cari waktu berbicara dengan seorang profesional atau seseorang yang lebih berpengalaman, supaya kamu bisa merasa lebih terarah dan tenang."
3,3,0,3,0,0,"Cemas tinggi banget, takut tinggi, dan gelisah tinggi. Semua emosi ini bener-bener ngubungin kamu ke titik stres yang sangat tinggi.","Saran aja nih, cari dukungan dari seorang psikolog atau terapis yang bisa bantu ngatasi kecemasan ini dengan cara yang lebih terstruktur."
1,1,0,0,1,0,"Kamu lagi cemas sedikit, takut sedikit, dan sedikit merasa sakit. Mungkin ada hal-hal kecil yang bikin kamu sedikit nggak nyaman, tapi nggak terlalu mengganggu banget.","Coba deh tarik napas dalam-dalam, fokus ke hal-hal positif yang ada di sekitar kamu, atau sekedar ngobrol sama teman biar lebih tenang."
1,1,0,0,2,0,"Cemas sedikit, takut sedikit, dan rasa sakit kamu lumayan kerasa. Mungkin ada beberapa hal yang kamu rasakan kurang memuaskan atau sedikit mengganggu perasaan kamu.","Cobalah untuk melakukan sesuatu yang kamu suka, seperti olahraga ringan atau meluangkan waktu untuk diri sendiri, supaya perasaan itu lebih mudah hilang."
1,1,0,0,3,0,"Cemas sedikit, takut sedikit, dan kesedihan kamu cukup tinggi. Mungkin ada beberapa hal yang sedang bikin kamu kecewa atau tertekan, dan itu menambah rasa nggak nyaman.","Penting untuk luangkan waktu buat diri sendiri, mungkin dengan berbicara dengan seseorang yang kamu percaya atau sekedar berjalan-jalan di luar untuk mengurangi perasaan itu."
1,2,0,0,1,0,"Cemas sedikit, takut agak ada, dan sedikit merasa sakit. Ini bisa jadi saat kamu merasa tertekan sedikit karena ketakutan yang nggak terlalu besar.","Coba deh, bagi waktu untuk diri sendiri. Ngobrol sama temen atau sekedar menikmati aktivitas yang kamu suka bisa membantu banget buat menenangkan diri."
1,2,0,0,2,0,"Cemas sedikit, takut agak ada, dan sedikit rasa sakit. Kamu mungkin merasa sedikit kecewa dengan situasi atau sesuatu yang belum sesuai harapan kamu.","Fokus ke hal-hal yang bisa bikin kamu lebih tenang, seperti meditasi, olahraga, atau ngobrol dengan orang yang bikin kamu merasa lebih baik."
1,2,0,0,3,0,"Cemas sedikit, takut agak ada, dan kesedihan kamu lumayan. Ketakutan dan kesedihan bisa bikin kamu merasa nggak tenang, dan bisa banget ngaruh ke mood kamu.","Cobalah untuk keluar sejenak dari rutinitas dan memberi diri ruang untuk refleksi diri, atau berbicara dengan seseorang yang kamu percayai."
1,3,0,0,1,0,"Cemas sedikit, takut tinggi, dan sedikit merasa sakit. Kamu mungkin merasa ketakutan berlebihan dengan hal-hal yang nggak pasti, dan sedikit tertekan karena rasa itu.","Fokus ke langkah-langkah kecil yang bisa kamu kontrol, dan coba untuk berbicara dengan teman atau keluarga yang bisa memberi perspektif baru."
1,3,0,0,2,0,"Cemas sedikit, takut tinggi, dan sedikit kesedihan. Kamu lagi merasa ketakutan yang lebih besar dari yang seharusnya, dan itu nambahin beban di kepala.","Cobalah untuk fokus ke hal-hal positif yang bisa bikin kamu lebih tenang, dan jangan ragu untuk mencari dukungan dari orang yang lebih berpengalaman."
1,3,0,0,3,0,"Cemas sedikit, takut tinggi, dan rasa sakit kamu lumayan. Ketakutan dan perasaan tertekan itu bisa banget bikin kamu merasa nggak tenang.","Jika kamu merasa overwhelmed banget, mungkin udah saatnya buat mencari dukungan lebih, baik dari teman, keluarga, atau seorang profesional."
2,1,0,0,1,0,"Cemas lumayan, takut sedikit, dan sedikit merasa sakit. Kamu mungkin lagi merasa sedikit tidak nyaman dengan hal-hal kecil yang sedang terjadi.","Coba fokus ke hal-hal yang bikin kamu lebih santai, seperti kegiatan yang kamu nikmati, atau sekedar berbicara dengan orang yang kamu percayai."
2,1,0,0,2,0,"Kayaknya kamu lagi sedikit khawatir tentang hal-hal yang sedang terjadi, ya? Mungkin ada beberapa hal kecil yang bikin kamu ngerasa nggak nyaman atau sedikit kecewa. Tapi percayalah, ini nggak akan berlangsung lama kok, ini cuma perasaan sementara.","Mungkin bisa coba untuk cari waktu buat diri sendiri, lakukan hal-hal yang bikin kamu senang, atau sekedar ngobrol sama temen buat ngurangin ketegangan itu."
2,1,0,0,3,0,"Kamu lagi ngerasa sedikit cemas dan kecewa, kan? Rasanya kayak ada sesuatu yang mengganjal dan bikin kamu ngerasa nggak puas dengan situasi sekarang. Tapi, kamu bisa banget ngatasin perasaan ini kok.","Cobalah untuk meluangkan waktu lebih banyak buat diri sendiri. Lakukan aktivitas yang kamu suka, atau ngobrol dengan seseorang yang bisa bantu ngurangin perasaan nggak nyaman ini."
2,2,0,0,1,0,"Mungkin sekarang kamu ngerasa agak khawatir dengan hal-hal yang ada di sekitar kamu, ya? Ketakutan kamu nggak terlalu gede, tapi cukup cukup bikin kamu merasa sedikit tertekan. Ditambah lagi, kamu mungkin lagi sedikit kecewa dengan apa yang terjadi.","Coba deh fokus ke langkah kecil yang bisa kamu kontrol. Ngobrol sama temen atau seseorang yang kamu percayai bisa bantu banget buat ngurangin perasaan tertekan itu."
2,2,0,0,2,0,"Kayaknya kamu lagi ngerasa agak cemas dan sedikit kecewa sama situasi sekarang. Hal-hal kecil bisa jadi ngerasa lebih berat karena ketakutan yang nggak jelas, dan itu bikin perasaan kamu agak tertekan.","Coba deh lakuin sesuatu yang bikin kamu merasa lebih baik. Cobalah keluar sebentar, jalan-jalan, atau luangkan waktu buat diri sendiri supaya perasaan itu lebih ringan."
2,2,0,0,3,0,"Saat-saat seperti ini mungkin bikin kamu ngerasa terjebak antara ketakutan dan rasa kecewa. Kamu merasa nggak puas dengan apa yang terjadi, dan itu bikin kamu merasa tertekan.","Ngobrol sama seseorang yang lebih berpengalaman atau bahkan mencari dukungan dari profesional bisa banget bantu kamu mengatasi perasaan tertekan ini."
2,3,0,0,1,0,"Perasaan kamu mungkin lagi dipenuhi dengan ketakutan yang agak besar, tapi kamu masih bisa menghadapinya kok. Ditambah, ada sedikit rasa kecewa atau tertekan yang bikin kamu merasa nggak nyaman dengan apa yang sedang terjadi.","Fokus ke hal-hal kecil yang bisa kamu kontrol, coba untuk tenang dan ngobrol sama temen atau orang yang bisa memberi perspektif lain."
2,3,0,0,2,0,"Perasaan kamu lagi ngerasa ketakutan yang cukup tinggi, ditambah rasa kecewa yang lumayan juga. Kamu mungkin lagi merasa tertekan karena dua perasaan ini yang mengisi pikiranmu.","Cobalah untuk berbicara dengan orang yang bisa memberikan perspektif baru atau lakukan aktivitas yang kamu nikmati untuk meredakan ketegangan ini."
2,3,0,0,3,0,"Ketakutan kamu cukup besar dan perasaan kecewa juga mengganggu perasaan kamu. Mungkin saat ini kamu merasa overwhelmed banget dan nggak tahu harus mulai dari mana.","Mencari dukungan dari seorang profesional atau berbicara dengan orang yang kamu percayai bisa sangat membantu kamu mengatasi perasaan ini dan memberi kamu lebih banyak ketenangan."
3,1,0,0,1,0,"Kayaknya kamu lagi ngerasa cemas banget, ya? Pikiran kamu terus berputar, dan ketakutan yang nggak jelas itu justru nambahin beban buat kamu. Rasanya kamu kayak overthinking banget, kan?","Coba fokus dulu ke langkah kecil yang bisa kamu kontrol. Kalau perlu, ngobrol sama teman atau keluarga buat bantu ngurangin ketakutan itu dan bikin kamu merasa lebih tenang."
3,1,0,0,2,0,"Cemas kamu lagi tinggi banget, dan ketakutan yang nggak pasti itu makin nambahin beban pikiran kamu. Ditambah, perasaan sedih yang kamu rasain jadi bikin kamu lebih tertekan lagi.","Mungkin bisa coba untuk berhenti sejenak dan beri waktu buat diri sendiri. Coba jalan-jalan atau ngobrol sama orang yang bisa bikin kamu lebih tenang dan ngurangin kecemasan itu."
3,1,0,0,3,0,"Cemas kamu lagi tinggi banget, takut sedikit, dan gelisahnya cukup tinggi. Kamu ngerasa bener-bener tertekan sama ketakutan yang nggak jelas, dan itu ngganggu banyak hal yang harusnya bisa kamu fokusin.","Cobalah untuk fokus pada langkah-langkah kecil yang bisa kamu ambil dan buat diri kamu lebih tenang. Kalau perlu, ngobrol sama seorang profesional bisa bantu banget."
3,2,0,0,1,0,"Cemas kamu tinggi banget, takut lumayan, dan sedikit kesedihan. Mungkin kamu lagi merasa tertekan dengan ketakutan yang agak besar, ditambah perasaan kecewa sedikit.","Fokus ke hal-hal kecil yang bisa kamu kontrol dulu. Ngobrol sama temen atau orang yang lebih berpengalaman bisa banget bantu ngurangin ketegangan ini dan bikin kamu merasa lebih ringan."
3,2,0,0,2,0,"Cemas kamu tinggi banget, takut lumayan, dan kesedihan kamu lumayan. Perasaan ketakutan dan kekecewaan itu mulai nambahin beban yang cukup berat di kepala.","Cobalah untuk cari dukungan dari teman atau keluarga. Lakukan hal-hal yang bisa bikin kamu lebih rileks, seperti jalan-jalan atau meditasi buat ngurangin beban itu."
3,2,0,0,3,0,"Cemas kamu tinggi banget, takut lumayan, dan kesedihan kamu cukup tinggi. Semua perasaan ini lagi bikin kamu ngerasa overwhelmed banget dan nggak tahu harus mulai dari mana.","Coba cari dukungan dari seorang profesional atau bicarakan hal ini sama orang yang kamu percayai. Mereka bisa bantu banget untuk mengatasi perasaan tertekan dan bikin kamu lebih tenang."
3,3,0,0,1,0,"Cemas kamu tinggi banget, takut tinggi, dan sedikit rasa sakit. Ketakutan kamu udah mulai menguasai pikiran, ditambah rasa sedikit kecewa itu nambahin beban yang ada.","Cobalah untuk luangin waktu buat diri sendiri, tarik napas dalam-dalam, dan bicara sama seseorang yang bisa bantu kamu ngurangin ketakutan dan kecemasan yang kamu rasain."
3,3,0,0,2,0,"Cemas kamu tinggi banget, takut tinggi, dan rasa sakit kamu lumayan. Ketakutan yang tinggi ini bisa bikin kamu merasa sangat tertekan dan gelisah, ya?","Cari waktu untuk melakukan hal-hal yang bikin kamu tenang. Ngobrol sama teman dekat atau profesional bisa banget bantu kamu merasa lebih lega dan jauh dari perasaan tertekan."
